id,account_number,givenName,familyName,email,mobile,isDeceased,isInHardship,isActive,hasFamilyIssues,hasLifeSupport,hasSpecialCircumstances,dateOfBirth,createdAt
U-50000000,A-10000000,Joseph,Johnson,joseph.johnson239@gmail.com,+17744039928,False,False,True,False,False,False,1986-08-06,2025-03-08
U-50000001,A-10000001,James,Carter,james.carter271@gmail.com,+19476709785,False,False,True,False,False,False,1974-03-21,2024-09-07
U-50000002,A-10000002,Christine,Parker,christine.parker465@outlook.com,+13665796820,False,False,True,False,False,False,1984-04-17,2025-05-01
U-50000003,A-10000003,Nancy,Wright,nancy.wright235@gmail.com,+15236105386,False,False,True,False,False,False,1969-05-18,2025-05-30
U-50000004,A-10000004,Anna,Sanchez,anna.sanchez142@icloud.com,+12939731771,False,False,True,False,False,False,2001-06-22,2025-06-20
U-50000005,A-10000005,Jacob,Hill,jacob.hill769@outlook.com,+19878566573,False,False,True,False,False,False,1963-11-23,2024-10-15
U-50000006,A-10000006,James,Campbell,james.campbell781@yahoo.com,+17529979689,False,False,True,False,False,False,1998-10-11,2024-06-19
U-50000007,A-10000007,Joseph,White,joseph.white132@icloud.com,+17623695342,False,False,True,False,False,True,1972-11-15,2025-03-13
U-50000008,A-10000008,Sandra,Rivera,sandra.rivera568@yahoo.com,+18024251117,False,False,True,False,False,False,1978-10-23,2024-10-01
U-50000009,A-10000009,Ronald,Jones,ronald.jones827@icloud.com,+13942962588,False,False,True,False,False,False,1996-02-29,2025-03-15
U-50000010,A-10000010,Michael,Baker,michael.baker474@yahoo.com,+12776532604,False,False,True,False,False,False,1990-05-10,2025-09-12
U-50000011,A-10000011,Nancy,Clark,nancy.clark293@icloud.com,+19139488973,False,False,True,False,False,False,1972-08-24,2024-07-09
U-50000012,A-10000012,Benjamin,Mitchell,benjamin.mitchell872@yahoo.com,+12708092113,False,False,True,False,False,False,1964-04-28,2025-09-12
U-50000013,A-10000013,Benjamin,Hill,benjamin.hill135@outlook.com,+16685232188,False,False,True,False,False,False,1979-02-20,2025-08-22
U-50000014,A-10000014,Barbara,Wright,barbara.wright627@gmail.com,+18837675905,False,False,True,False,False,False,1973-02-14,2024-06-13
U-50000015,A-10000015,Scott,Martinez,scott.martinez95@icloud.com,+14832451058,False,False,True,False,False,False,1990-06-13,2025-01-29
U-50000016,A-10000016,Gary,Scott,gary.scott131@gmail.com,+15155731653,False,False,True,False,False,False,1959-01-09,2025-11-04
U-50000017,A-10000017,Ryan,Flores,ryan.flores822@yahoo.com,+14733632771,False,False,True,False,False,False,1989-07-26,2025-03-16
U-50000018,A-10000018,Nicholas,Thompson,nicholas.thompson410@outlook.com,+12283185279,False,False,True,False,False,False,2002-03-03,2025-03-25
U-50000019,A-10000019,Samuel,Ramirez,samuel.ramirez948@yahoo.com,+15726412146,False,False,True,False,False,False,1971-09-02,2024-12-27
U-50000020,A-10000020,Edward,Allen,edward.allen631@outlook.com,+16157611006,False,False,True,False,False,False,1981-03-16,2024-09-21
U-50000021,A-10000021,Katherine,Adams,katherine.adams528@outlook.com,+12959694848,False,False,True,False,False,False,1970-05-31,2024-07-25
U-50000022,A-10000022,Jennifer,Thomas,jennifer.thomas915@gmail.com,+19976354585,False,False,True,False,False,False,1965-05-19,2025-08-31
U-50000023,A-10000023,Dorothy,Diaz,dorothy.diaz437@icloud.com,+13629618777,False,False,True,False,False,False,1970-11-06,2024-08-03
U-50000024,A-10000024,Jonathan,Green,jonathan.green711@yahoo.com,+19234192052,False,False,True,False,False,False,1976-02-13,2025-02-05
U-50000025,A-10000025,Cynthia,Brown,cynthia.brown306@icloud.com,+16297519947,False,False,True,False,True,True,1960-03-16,2024-09-09
U-50000026,A-10000026,Kathleen,Young,kathleen.young929@icloud.com,+18067771444,False,False,True,False,False,False,1998-07-25,2024-10-11
U-50000027,A-10000027,Michael,Taylor,michael.taylor482@gmail.com,+19677521853,False,False,True,False,False,False,1976-07-11,2024-12-13
U-50000028,A-10000028,Dorothy,Gonzalez,dorothy.gonzalez622@gmail.com,+19963676096,False,False,True,False,False,False,1957-11-05,2025-06-10
U-50000029,A-10000029,Jason,Sanchez,jason.sanchez802@gmail.com,+15557458018,False,False,True,False,False,False,1972-07-10,2025-08-28
U-50000030,A-10000030,Cynthia,Evans,cynthia.evans277@icloud.com,+16766465397,False,False,True,False,False,False,1969-10-03,2025-07-28
U-50000031,A-10000031,Dorothy,Carter,dorothy.carter719@outlook.com,+17692109464,False,False,True,False,False,False,1988-06-16,2024-10-21
